lat,long
54.97514,-1.61232
54.97494,-1.61219
54.97500,-1.61190
54.97512,-1.61133
54.97516,-1.61113
54.97526,-1.61063
54.97529,-1.61028
54.97477,-1.60990
54.97461,-1.60959
54.97460,-1.60927
54.97461,-1.60959
54.97455,-1.61029
54.97453,-1.61048
54.97438,-1.61125
54.97413,-1.61238
54.97401,-1.61291
54.97357,-1.61295
54.97299,-1.61263
54.97357,-1.61295
54.97366,-1.61329
54.97321,-1.61372
54.97329,-1.61405
54.97339,-1.61444
54.97357,-1.61512
54.97356,-1.61526
54.97339,-1.61444
54.97329,-1.61405
54.97321,-1.61372
54.97366,-1.61329
54.97398,-1.61342
54.97407,-1.61470
54.97411,-1.61531
54.97437,-1.61528
54.97446,-1.61542
54.97453,-1.61528
54.97453,-1.61528
54.97446,-1.61542
54.97437,-1.61528
54.97411,-1.61531
54.97414,-1.61577
54.97412,-1.61796
54.97437,-1.61809
54.97439,-1.61800
54.97495,-1.61851
54.97514,-1.61871
54.97470,-1.62019
54.97465,-1.62039
54.97470,-1.62019
54.97485,-1.61970
54.97474,-1.61963
54.97449,-1.61946
54.97437,-1.61938
54.97385,-1.61910
54.97398,-1.61869
54.97405,-1.61840
54.97412,-1.61796
54.97414,-1.61577
54.97398,-1.61342
54.97413,-1.61238
54.97426,-1.61179
54.97411,-1.61171
54.97359,-1.61142
54.97286,-1.61096
54.97218,-1.61050
54.97192,-1.61000
54.97192,-1.60984
54.97192,-1.61000
54.97195,-1.61017
54.97177,-1.61010
54.97174,-1.61007
54.97153,-1.60983
54.97128,-1.60952
54.97091,-1.61044
54.97087,-1.61053
54.97079,-1.61042
54.97058,-1.61018
54.97032,-1.60994
54.96964,-1.60950
54.96961,-1.60943
54.96957,-1.60939
54.96941,-1.60906
54.96928,-1.60815
54.96906,-1.60788
54.96879,-1.60772
54.96871,-1.60777
54.96868,-1.60787
54.96850,-1.60820
54.96814,-1.60793
54.96726,-1.60996
54.96706,-1.61041
54.96726,-1.60996
54.96779,-1.60870
54.96814,-1.60793
54.96829,-1.60799
54.96825,-1.60812
54.96821,-1.60822
54.96810,-1.60846
54.96802,-1.60837
54.96732,-1.60750
54.96683,-1.60680
54.96673,-1.60642
54.96675,-1.60586
54.96693,-1.60576
54.96758,-1.60429
54.96816,-1.60246
54.96840,-1.60131
54.96858,-1.60058
54.96877,-1.59996
54.96889,-1.59983
54.96909,-1.59939
54.96930,-1.59921
54.96965,-1.59911
54.96989,-1.59922
54.97004,-1.59952
54.97023,-1.60019
54.97037,-1.59955
54.97066,-1.59871
54.97091,-1.59721
54.97119,-1.59483
54.97124,-1.59304
54.97119,-1.59185
54.97111,-1.59099
54.97069,-1.58871
54.97068,-1.58860
54.97116,-1.58875
54.97129,-1.58867
54.97134,-1.58894
54.97136,-1.58951
54.97144,-1.58942
54.97144,-1.58883
54.97103,-1.58759
54.97073,-1.58705
54.97065,-1.58691
54.97057,-1.58705
54.97065,-1.58691
54.97055,-1.58671
54.97058,-1.58666
54.97059,-1.58666
54.97069,-1.58682
54.97089,-1.58712
54.97103,-1.58723
54.97110,-1.58724
54.97122,-1.58726
54.97123,-1.58712
54.97122,-1.58696
54.97119,-1.58673
54.97102,-1.58626
54.97063,-1.58561
54.97085,-1.58524
54.97067,-1.58489
54.97014,-1.58382
54.96973,-1.58238
54.96967,-1.58200
54.96971,-1.58191
54.96999,-1.58080
54.96994,-1.58037
54.97001,-1.57949
54.97005,-1.57918
54.96995,-1.57914
54.96999,-1.57881
54.97005,-1.57863
54.97011,-1.57805
54.97023,-1.57806
54.97028,-1.57801
54.97039,-1.57762
54.97054,-1.57762
54.97055,-1.57747
54.97062,-1.57736
54.97071,-1.57738
54.97075,-1.57703
54.97076,-1.57663
54.97083,-1.57638
54.97083,-1.57595
54.97109,-1.57604
54.97118,-1.57572
54.97123,-1.57530
54.97140,-1.57399
54.97168,-1.57392
54.97165,-1.57361
54.97158,-1.57297
54.97146,-1.56941
54.97165,-1.56685
54.97226,-1.55977
54.97255,-1.55688
54.97276,-1.55542
54.97308,-1.55403
54.97384,-1.55049
54.97444,-1.54724
54.97494,-1.54770
54.97520,-1.54783
54.97539,-1.54764
54.97545,-1.54771
54.97557,-1.54781
54.97641,-1.54819
54.97552,-1.55343
54.97536,-1.55433
